¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="1904"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1,1020¦X¡@¡@®w,34.30,0,1000,,2,1020¦X¡@¡@®w,35.00,0,1000 
3,1020¦X¡@¡@®w,35.15,1000,0,,4,1020¦X¡@¡@®w,35.25,0,2000 
5,1020¦X¡@¡@®w,35.50,0,3000,,6,1020¦X¡@¡@®w,35.60,0,1000 
7,1021¦X®w¥x¤¤,34.50,1000,0,,8,1021¦X®w¥x¤¤,34.60,1000,0 
9,1021¦X®w¥x¤¤,34.75,1000,1000,,10,1021¦X®w¥x¤¤,35.00,0,2000 
11,1021¦X®w¥x¤¤,35.20,0,1000,,12,1021¦X®w¥x¤¤,35.25,0,16000 
13,1021¦X®w¥x¤¤,35.40,11000,16000,,14,1021¦X®w¥x¤¤,35.50,19000,0 
15,1021¦X®w¥x¤¤,35.65,0,1000,,16,1022¦X®w¥x«n,34.40,0,7000 
17,1022¦X®w¥x«n,35.00,0,1000,,18,1022¦X®w¥x«n,35.20,1000,0 
19,1022¦X®w¥x«n,35.35,0,1000,,20,1022¦X®w¥x«n,35.50,2000,0 
21,1022¦X®w¥x«n,35.55,0,1000,,22,1022¦X®w¥x«n,35.60,0,1000 
23,1023¦X®w°ª¶¯,34.55,0,1000,,24,1023¦X®w°ª¶¯,35.20,0,4000 
25,1023¦X®w°ª¶¯,35.60,4000,0,,26,1024¦X®w¹Å¸q,34.70,1000,0 
27,1024¦X®w¹Å¸q,35.25,0,1000,,28,1024¦X®w¹Å¸q,35.35,10000,0 
29,1025¦X®w°ò¶©,35.45,1000,0,,30,1028¦X®w¹ü¤Æ,34.75,2000,0 
31,1028¦X®w¹ü¤Æ,35.00,1000,0,,32,1028¦X®w¹ü¤Æ,35.40,1000,0 
33,1028¦X®w¹ü¤Æ,35.55,0,2000,,34,1029¦X®w»ñ¤s,34.35,1000,0 
35,1029¦X®w»ñ¤s,34.75,2000,1000,,36,1029¦X®w»ñ¤s,35.30,0,2000 
37,102A¦X®w·s¦Ë,33.65,0,2000,,38,102A¦X®w·s¦Ë,34.20,2000,0 
39,102A¦X®w·s¦Ë,35.50,0,1000,,40,102C¦X®w¦Û±j,34.05,0,1000 
41,102C¦X®w¦Û±j,34.50,0,4000,,42,102C¦X®w¦Û±j,35.20,2000,0 
43,102C¦X®w¦Û±j,35.45,0,2000,,44,102E¦X®w®ç¶é,35.10,1000,0 
45,102E¦X®w®ç¶é,35.40,1000,0,,46,102F¦X®w¦è¥x,34.25,0,2000 
47,102F¦X®w¦è¥x,34.50,0,1000,,48,102F¦X®w¦è¥x,35.00,0,1000 
49,102F¦X®w¦è¥x,35.25,0,1000,,50,102F¦X®w¦è¥x,35.30,0,1000 
51,102G¦X®w¤T­«,33.90,0,1000,,52,102G¦X®w¤T­«,34.45,0,1000 
53,102G¦X®w¤T­«,34.75,0,1000,,54,102G¦X®w¤T­«,35.20,1000,1000 
55,102G¦X®w¤T­«,35.25,0,1000,,56,102G¦X®w¤T­«,35.40,1000,0 
57,1030¤g¡@¡@»È,35.20,0,1000,,58,1030¤g¡@¡@»È,35.25,1000,0 
59,1030¤g¡@¡@»È,35.30,0,1000,,60,1030¤g¡@¡@»È,35.35,0,2000 
61,1030¤g¡@¡@»È,35.40,1000,0,,62,1030¤g¡@¡@»È,35.45,0,2000 
63,1032¤g»È¥x«n,35.15,0,224,,64,1032¤g»È¥x«n,35.30,0,6000 
65,1032¤g»È¥x«n,35.35,0,6000,,66,1032¤g»È¥x«n,35.45,0,1000 
67,1032¤g»È¥x«n,35.50,0,25000,,68,1033¤g»È°ª¶¯,34.90,0,3000 
69,1033¤g»È°ª¶¯,35.10,0,5000,,70,1033¤g»È°ª¶¯,35.25,0,5000 
71,1033¤g»È°ª¶¯,35.30,0,3000,,72,1033¤g»È°ª¶¯,35.35,10000,0 
73,1033¤g»È°ª¶¯,35.40,0,2000,,74,1035¤g»È·s¦Ë,34.35,0,1000 
75,1035¤g»È·s¦Ë,34.45,0,3000,,76,1035¤g»È·s¦Ë,35.30,0,3000 
77,1035¤g»È·s¦Ë,35.45,0,10000,,78,1037¤g»Èªá½¬,34.20,0,1000 
79,1037¤g»Èªá½¬,34.95,0,4000,,80,1037¤g»Èªá½¬,35.50,0,5000 
81,1039¤g»È¤hªL,34.15,2000,0,,82,1039¤g»È¤hªL,34.20,2000,0 
83,1039¤g»È¤hªL,35.40,0,20000,,84,103A¤g»È«Ø°ê,35.00,0,1000 
85,103A¤g»È«Ø°ê,35.55,1000,1000,,86,103B¤g»È¹ü¤Æ,34.80,0,2000 
87,103B¤g»È¹ü¤Æ,35.35,0,10000,,88,103B¤g»È¹ü¤Æ,35.60,0,3000 
89,103C¤g»È¥Õªe,35.35,1000,0,,90,103F¤g»È«n´ä,35.25,0,1000 
91,1040»O    »È,34.20,0,1000,,92,1040»O    »È,34.25,0,1000 
93,1040»O    »È,34.30,0,1000,,94,1040»O    »È,34.50,0,1000 
95,1040»O    »È,34.75,0,3000,,96,1040»O    »È,34.95,0,2000 
97,1040»O    »È,35.00,85,1000,,98,1040»O    »È,35.05,0,2000 
99,1040»O    »È,35.20,2000,0,,100,1040»O    »È,35.25,0,1000 
101,1040»O    »È,35.30,2000,1000,,102,1040»O    »È,35.35,4000,0 
103,1040»O    »È,35.45,1000,0,,104,1040»O    »È,35.50,0,1000 
105,1040»O    »È,35.55,0,1000,,106,1040»O    »È,35.60,0,2000 
107,1041»O»È»ñ¤s,33.60,1000,2000,,108,1041»O»È»ñ¤s,33.65,0,1000 
109,1041»O»È»ñ¤s,34.50,1000,5000,,110,1041»O»È»ñ¤s,34.55,1000,0 
111,1041»O»È»ñ¤s,35.00,0,4000,,112,1041»O»È»ñ¤s,35.10,10000,0 
113,1041»O»È»ñ¤s,35.15,0,1000,,114,1041»O»È»ñ¤s,35.20,0,1000 
115,1041»O»È»ñ¤s,35.30,10000,4000,,116,1041»O»È»ñ¤s,35.35,0,4000 
117,1041»O»È»ñ¤s,35.50,0,1000,,118,1041»O»È»ñ¤s,35.60,5000,0 
119,1042»O»È»O«n,34.00,0,1000,,120,1042»O»È»O«n,34.20,0,2000 
121,1042»O»È»O«n,34.50,0,1000,,122,1042»O»È»O«n,34.60,0,1000 
123,1042»O»È»O«n,34.90,1000,0,,124,1042»O»È»O«n,35.00,100,0 
125,1042»O»È»O«n,35.05,0,1000,,126,1042»O»È»O«n,35.20,0,1000 
127,1042»O»È»O«n,35.30,0,2000,,128,1042»O»È»O«n,35.60,5000,0 
129,1043»O»È¥ÁÅv,33.70,0,8000,,130,1043»O»È¥ÁÅv,34.20,0,1000 
131,1043»O»È¥ÁÅv,34.35,0,1000,,132,1043»O»È¥ÁÅv,34.45,0,1000 
133,1043»O»È¥ÁÅv,34.80,0,1000,,134,1043»O»È¥ÁÅv,34.90,0,1000 
135,1043»O»È¥ÁÅv,34.95,0,4000,,136,1043»O»È¥ÁÅv,35.00,1000,15000 
137,1043»O»È¥ÁÅv,35.25,0,1000,,138,1043»O»È¥ÁÅv,35.50,1000,0 
139,1043»O»È¥ÁÅv,35.70,0,2000,,140,1045»O»È·s¦Ë,34.15,0,1000 
141,1045»O»È·s¦Ë,34.20,0,4000,,142,1045»O»È·s¦Ë,34.25,0,4000 
143,1045»O»È·s¦Ë,34.45,2000,0,,144,1045»O»È·s¦Ë,34.75,1000,0 
145,1045»O»È·s¦Ë,34.90,0,4000,,146,1045»O»È·s¦Ë,35.00,1000,0 
147,1045»O»È·s¦Ë,35.20,10000,0,,148,1045»O»È·s¦Ë,35.55,0,1000 
149,1045»O»È·s¦Ë,35.60,1000,10000,,150,104A»O»È»O¤¤,33.85,1000,0 
151,104A»O»È»O¤¤,34.20,1000,0,,152,104A»O»È»O¤¤,34.60,0,2000 
153,104A»O»È»O¤¤,34.70,1000,0,,154,104A»O»È»O¤¤,34.85,0,2000 
155,104A»O»È»O¤¤,34.90,0,1000,,156,104A»O»È»O¤¤,34.95,0,1000 
157,104A»O»È»O¤¤,35.00,10000,3000,,158,104A»O»È»O¤¤,35.15,1000,200 
159,104A»O»È»O¤¤,35.20,0,1000,,160,104A»O»È»O¤¤,35.30,0,1000 
161,104A»O»È»O¤¤,35.35,2000,0,,162,104A»O»È»O¤¤,35.40,4000,3000 
163,104A»O»È»O¤¤,35.65,0,15000,,164,104C»O»È°ª¶¯,34.10,0,3000 
165,104C»O»È°ª¶¯,34.15,4000,1000,,166,104C»O»È°ª¶¯,34.55,0,5000 
167,104C»O»È°ª¶¯,34.70,6000,0,,168,104C»O»È°ª¶¯,34.80,2000,0 
169,104C»O»È°ª¶¯,34.90,0,1000,,170,104C»O»È°ª¶¯,34.95,0,2000 
171,104C»O»È°ª¶¯,35.00,5000,0,,172,104C»O»È°ª¶¯,35.05,0,5000 
173,104C»O»È°ª¶¯,35.10,0,2000,,174,104C»O»È°ª¶¯,35.30,2000,0 
175,104C»O»È°ª¶¯,35.40,1000,0,,176,104C»O»È°ª¶¯,35.45,0,8000 
177,104D»O»Èª÷¤s,34.90,1000,0,,178,104D»O»Èª÷¤s,35.00,0,2000 
179,104D»O»Èª÷¤s,35.20,0,1000,,180,104D»O»Èª÷¤s,35.25,0,1000 
181,104D»O»Èª÷¤s,35.30,0,2000,,182,104D»O»Èª÷¤s,35.35,1000,16000 
183,104D»O»Èª÷¤s,35.40,2000,1000,,184,104D»O»Èª÷¤s,35.60,7000,0 
185,104D»O»Èª÷¤s,35.65,0,1000,,186,1110¥ø    »È,34.75,5000,0 
187,1110¥ø    »È,35.00,0,1000,,188,1110¥ø    »È,35.20,0,1000 
189,1110¥ø    »È,35.30,0,2000,,190,1110¥ø    »È,35.50,0,3000 
191,1111¥ø»È¥x¤¤,34.50,8000,0,,192,1111¥ø»È¥x¤¤,35.05,12000,0 
193,1112¥ø»È¥x«n,35.00,0,3000,,194,1112¥ø»È¥x«n,35.10,0,1000 
195,1112¥ø»È¥x«n,35.30,0,10000,,196,1112¥ø»È¥x«n,35.60,0,1000 
197,1113¥ø»È¤E¦p,35.20,0,4000,,198,1113¥ø»È¤E¦p,35.25,4000,0 
199,1113¥ø»È¤E¦p,35.35,0,4000,,200,1113¥ø»È¤E¦p,35.45,4000,0 
201,1114¥ø»È¹Å¸q,35.20,0,3000,,202,1115¥ø»È¤Ó¥­,34.75,2000,0 
203,1116¥ø»È«ÌªF,33.80,0,1000,,204,1116¥ø»È«ÌªF,34.85,0,1000 
205,1116¥ø»È«ÌªF,35.05,1000,0,,206,1117¥ø»È¦Ë¥_,33.80,0,4000 
207,1117¥ø»È¦Ë¥_,33.85,0,6000,,208,1117¥ø»È¦Ë¥_,33.90,0,2000 
209,1117¥ø»È¦Ë¥_,34.00,0,4000,,210,1117¥ø»È¦Ë¥_,35.20,0,1000 
211,1118¥ø»ÈÂ×­ì,35.25,1000,0,,212,1118¥ø»ÈÂ×­ì,35.30,0,1000 
213,1118¥ø»ÈÂ×­ì,35.40,0,1000,,214,1118¥ø»ÈÂ×­ì,35.45,0,1000 
215,1119¥ø»È©£¤s,34.70,5000,0,,216,1119¥ø»È©£¤s,35.00,1000,0 
217,1119¥ø»È©£¤s,35.20,0,2000,,218,1119¥ø»È©£¤s,35.25,0,6000 
219,111B¥x¥ø«Ø¦¨,35.35,2000,0,,220,111E¥ø»È®ç¶é,34.15,0,10000 
221,111E¥ø»È®ç¶é,34.90,0,1000,,222,111F¥ø»È¥_°ª,34.20,1000,0 
223,111F¥ø»È¥_°ª,34.45,0,1000,,224,111F¥ø»È¥_°ª,34.75,1000,0 
225,111F¥ø»È¥_°ª,35.00,0,1000,,226,111F¥ø»È¥_°ª,35.45,1000,0 
